@relation mass_shootings_data
%@attribute title String 
%@attribute location String
%@attribute summary string
@attribute fatalities numeric
@attribute injuries numeric
@attribute total_victims numeric
@attribute mental_health_issues {Yes,No,Unknown}
@attribute race {White_American,Black_American,Asian,Asian_American,Mexican,Unknown,Native_American,Other}
@attribute gender {Male,Female,Unknown,Male/Female}
@attribute Date date 'yyyy/MM/dd'
@attribute latitude real
@attribute longitude real

@data
5,3,8,'Yes','Other','Male',1999/12/30,27.99601861,-82.44503769
10,12,21,'Yes','White_American','Male',1999/07/29,33.7629969,-84.4231328
15,24,37,'Yes','White_American','Male',1999/04/20,39.59358263,-105.0152112
0,6,6,'Yes','Black_American','Male',1998/10/06,33.93814348,-117.3948409
4,25,29,'Yes','White_American','Male',1998/05/21,44.05489698,-123.0075562
1,3,4,'Yes','White_American','Male',1998/04/24,41.87617136,-80.12459632
5,2,6,'Yes','Other','Male',1997/12/18,33.78935598,-117.820412
3,5,8,'Yes','White_American','Male',1997/12/01,37.08506,-88.74422
2,7,9,'Yes','White_American','Male',1997/10/01,32.27492783,-90.09470655
4,3,7,'Yes','Black_American','Male',1997/09/15,33.47524551,-81.72595949
3,0,3,'Yes','White_American','Male',1996/08/15,32.86357277,-117.1281628
3,1,4,'Yes','White_American','Male',1996/02/02,47.12189424,-119.2750699
4,1,5,'Yes','White_American','Male',1995/03/21,40.826184,-74.20862
2,2,4,'Yes','White_American','Male',1995/01/26,35.92681467,-79.03850407
2,5,7,'Yes','White_American','Male',1994/12/30,42.32427392,-71.14080012
5,23,27,'Yes','White_American','Male',1994/06/20,47.618456,-117.644099
4,0,4,'Yes','White_American','Male',1994/05/26,38.95130818,-84.67066339
1,2,3,'Yes','White_American','Male',1993/12/16,42.31319376,-84.01868108
4,1,5,'Yes','Black_American','Male',1993/12/14,39.69892933,-104.7871863
6,19,25,'Yes','Black_American','Male',1993/12/07,40.72662266,-73.644712
1,4,4,'Yes','White_American','Male',1993/09/17,44.79051074,-106.9599165
4,8,12,'Yes','White_American','Male',1993/08/06,35.07997086,-79.03796125
9,6,14,'Yes','White_American','Male',1993/07/01,37.75457839,-122.4424343
2,2,3,'Yes','Unknown','Male',1993/05/06,42.31269522,-83.21293244
1,5,6,'Yes','White_American','Male',1993/05/06,33.47316083,-117.696399
5,0,4,'Yes','White_American','Male',1992/10/15,42.38013875,-76.86724659
4,10,14,'Yes','White_American','Male',1992/05/01,39.08174985,-121.5549539
6,1,6,'Yes','Asian_American','Male',1991/11/01,41.65589405,-91.53117986
3,0,3,'Yes','Black_American','Male',1991/10/10,40.98213277,-74.11264731
9,0,9,'Yes','Asian_American','Male',1991/08/09,33.57145875,-112.0904854
12,6,17,'Yes','Black_American','Male',1990/06/17,30.33216122,-81.67576993
9,12,20,'Yes','White_American','Male',1989/09/14,38.249432,-85.726243
4,1,4,'Yes','White_American','Male',1989/08/10,33.13439925,-117.0722528
6,30,35,'Yes','White_American','Male',1989/01/17,37.96631812,-121.3018775
0,4,4,'Yes','Unknown','Male',1988/12/14,30.0687242,-89.93147412
2,9,11,'Yes','White_American','Male',1988/09/26,34.1928952,-82.15355508
5,2,6,'Yes','Black_American','Male',1988/09/22,41.83928045,-87.68818145
2,7,8,'Yes','White_American','Female',1988/05/20,42.10648807,-87.74211141
7,4,11,'Yes','White_American','Male',1988/02/16,37.38344257,-122.0256185
1,2,3,'Yes','White_American','Male',1988/02/11,27.84887061,-82.71058
6,14,20,'Yes','White_American','Male',1987/04/23,27.98388983,-80.66662713
1,4,5,'Yes','Black_American','Male',1986/08/12,40.679276,-73.939513
1,3,4,'Yes','White_American','Male',1985/01/21,37.67129418,-97.55070476
22,19,40,'Yes','White_American','Male',1984/07/18,32.555556,-117.047656
3,12,14,'Yes','Black_American','Male',1984/02/24,34.17622092,-118.5399542
9,3,11,'Yes','White_American','Male',1982/08/20,25.79653943,-80.20840397
2,9,11,'Yes','White_American','Female',1979/01/29,32.86357277,-117.1281628
1,7,8,'Yes','White_American','Male',1976/02/19,34.17622092,-118.5399542
3,7,10,'Yes','White_American','Male',1974/12/30,42.08185369,-78.43213922
1,3,4,'Yes','Unknown','Male',1974/01/17,41.83928045,-87.68818145
10,13,22,'Yes','Black_American','Male',1972/12/31,30.0687242,-89.93147412
5,1,6,'Yes','White_American','Male',1966/11/12,33.42268696,-111.8163202
17,32,48,'Yes','White_American','Male',1966/08/01,30.1988873,-97.84415949
58,527,585,'No','White_American','Male',2017/10/01,36.181271,-115.134132
10,13,23,'Unknown','White_American','Male',2018/05/18,29.392825,-95.141972
4,4,8,'Unknown','White_American','Male',2018/04/22,36.052521,-86.616944
3,0,3,'Unknown','Asian','Male',2018/03/09,38.392496,-122.366528
17,14,31,'Unknown','White_American','Male',2018/02/14,26.30483,-80.269511
4,1,5,'Unknown','White_American','Male',2018/01/28,40.052151,-79.389166
5,10,15,'Unknown','White_American','Male',2017/11/14,40.018759,-122.393089
26,20,46,'Unknown','White_American','Male',2017/11/05,29.273282,-98.056488
3,0,3,'Unknown','White_American','Male',2017/11/01,39.876374,-104.986132
3,3,6,'Unknown','Black_American','Male',2017/10/18,39.452189,-76.309988
3,2,5,'Unknown','Asian','Male',2017/06/14,37.765947,-122.406087
3,0,3,'Unknown','White_American','Male',2017/06/07,41.529546,-75.94722
5,0,5,'Unknown','Unknown','Male',2017/06/05,28.580295,-81.294086
3,0,3,'Unknown','White_American','Male',2017/05/12,39.959034,-82.596508
3,0,3,'Unknown','Black_American','Male',2017/04/18,36.746378,-119.800319
5,6,11,'Unknown','Mexican','Male',2017/01/06,26.072751,-80.143382
5,0,5,'Unknown','Unknown','Male',2016/09/23,48.461367,-122.337918
3,3,6,'Unknown','Black_American','Male',2016/07/17,30.433601,-91.081403
5,11,16,'Unknown','Black_American','Male',2016/07/07,32.7801052,-96.8000082
49,53,102,'Unknown','Other','Male',2016/06/12,28.519718,-81.376777
